source_id,evidence,owner,deadline,confidence,status,rule_score,rules_triggered,recommendation,error_type
M00036,The Migration Team will validate migration results,Migration Team,UNKNOWN,80,NEEDS_HUMAN_REVIEW,50,Action language detected | Owner identified | Deadline missing,NEEDS_HUMAN_REVIEW,MISSING_DEADLINE
M00037,"The reporting should be completed by 2026-09-23, but an owner has not yet been confirmed",UNKNOWN,2026-09-23,80,NEEDS_HUMAN_REVIEW,80,Decision language detected | Action language detected | Owner missing | Deadline identified,READY_FOR_HUMAN_APPROVAL,MISSING_OWNER
M00038,The reporting should be ready by 2026-02-26; the Security Team will validate new metrics,Security Team,2026-02-26,100,READY_FOR_REVIEW,70,Action language detected | Owner identified | Deadline identified,NEEDS_HUMAN_REVIEW,NORMAL
M00039,The deployment should be ready by 2026-03-28; the Operations Team will prepare release checklist,Operations Team,2026-03-28,100,READY_FOR_REVIEW,70,Action language detected | Owner identified | Deadline identified,NEEDS_HUMAN_REVIEW,NORMAL
M00040,We decided that the dashboard must be completed by 2026-03-01,UNKNOWN,2026-03-01,80,NEEDS_HUMAN_REVIEW,80,Decision language detected | Action language detected | Owner missing | Deadline identified,READY_FOR_HUMAN_APPROVAL,MISSING_OWNER
M00040,The QA Team will complete ETL integration,QA Team,UNKNOWN,80,NEEDS_HUMAN_REVIEW,50,Action language detected | Owner identified | Deadline missing,NEEDS_HUMAN_REVIEW,MISSING_DEADLINE
M00041,The team agreed to complete API integration for the client platform,UNKNOWN,UNKNOWN,60,NEEDS_HUMAN_REVIEW,60,Decision language detected | Action language detected | Owner missing | Deadline missing,NEEDS_HUMAN_REVIEW,LOW_CONFIDENCE
M00042,We decided that the reporting pipeline must be completed by 2026-02-05,UNKNOWN,2026-02-05,80,NEEDS_HUMAN_REVIEW,80,Decision language detected | Action language detected | Owner missing | Deadline identified,READY_FOR_HUMAN_APPROVAL,MISSING_OWNER
M00042,The Security Team will validate migration results,Security Team,UNKNOWN,80,NEEDS_HUMAN_REVIEW,50,Action language detected | Owner identified | Deadline missing,NEEDS_HUMAN_REVIEW,MISSING_DEADLINE
M00043,We decided that the client platform must be completed by 2026-07-01,UNKNOWN,2026-07-01,80,NEEDS_HUMAN_REVIEW,80,Decision language detected | Action language detected | Owner missing | Deadline identified,READY_FOR_HUMAN_APPROVAL,MISSING_OWNER
M00043,The Analytics Team will complete API integration,Analytics Team,UNKNOWN,80,NEEDS_HUMAN_REVIEW,50,Action language detected | Owner identified | Deadline missing,NEEDS_HUMAN_REVIEW,MISSING_DEADLINE
M00044,Decision: complete API integration for the client platform,UNKNOWN,UNKNOWN,60,NEEDS_HUMAN_REVIEW,60,Decision language detected | Action language detected | Owner missing | Deadline missing,NEEDS_HUMAN_REVIEW,LOW_CONFIDENCE
M00044,Documentation Team will handle the work by 2026-06-26,Documentation Team,2026-06-26,100,READY_FOR_REVIEW,70,Action language detected | Owner identified | Deadline identified,NEEDS_HUMAN_REVIEW,NORMAL
M00045,The client demo should be ready by 2026-09-07; the Project Team will update project documentation,Project Team,2026-09-07,100,READY_FOR_REVIEW,70,Action language detected | Owner identified | Deadline identified,NEEDS_HUMAN_REVIEW,NORMAL
M00046,The reporting pipeline should be ready by 2026-02-05; the Project Team will validate migration results,Project Team,2026-02-05,100,READY_FOR_REVIEW,70,Action language detected | Owner identified | Deadline identified,NEEDS_HUMAN_REVIEW,NORMAL
M00047,Decision: update project documentation for the client demo,UNKNOWN,UNKNOWN,60,NEEDS_HUMAN_REVIEW,60,Decision language detected | Action language detected | Owner missing | Deadline missing,NEEDS_HUMAN_REVIEW,LOW_CONFIDENCE
M00047,Migration Team will handle the work by 2026-06-27,Migration Team,2026-06-27,100,READY_FOR_REVIEW,70,Action language detected | Owner identified | Deadline identified,NEEDS_HUMAN_REVIEW,NORMAL
M00048,The team agreed to finalize deployment plan for the release,UNKNOWN,UNKNOWN,60,NEEDS_HUMAN_REVIEW,60,Decision language detected | Action language detected | Owner missing | Deadline missing,NEEDS_HUMAN_REVIEW,LOW_CONFIDENCE
M00049,We decided that the analytics model must be completed by 2026-05-11,UNKNOWN,2026-05-11,80,NEEDS_HUMAN_REVIEW,80,Decision language detected | Action language detected | Owner missing | Deadline identified,READY_FOR_HUMAN_APPROVAL,MISSING_OWNER
M00049,The Documentation Team will verify model outputs,Documentation Team,UNKNOWN,80,NEEDS_HUMAN_REVIEW,50,Action language detected | Owner identified | Deadline missing,NEEDS_HUMAN_REVIEW,MISSING_DEADLINE
M00050,We decided that the production deployment must be completed by 2026-06-30,UNKNOWN,2026-06-30,80,NEEDS_HUMAN_REVIEW,80,Decision language detected | Action language detected | Owner missing | Deadline identified,READY_FOR_HUMAN_APPROVAL,MISSING_OWNER
M00050,The Analytics Team will complete security review,Analytics Team,UNKNOWN,80,NEEDS_HUMAN_REVIEW,50,Action language detected | Owner identified | Deadline missing,NEEDS_HUMAN_REVIEW,MISSING_DEADLINE
M00051,The team agreed to complete dashboard testing for the analytics dashboard,UNKNOWN,UNKNOWN,60,NEEDS_HUMAN_REVIEW,60,Decision language detected | Action language detected | Owner missing | Deadline missing,NEEDS_HUMAN_REVIEW,LOW_CONFIDENCE
M00052,Decision: review client requirements for the project scope,UNKNOWN,UNKNOWN,60,NEEDS_HUMAN_REVIEW,60,Decision language detected | Action language detected | Owner missing | Deadline missing,NEEDS_HUMAN_REVIEW,LOW_CONFIDENCE
M00052,Consulting Team will handle the work by 2026-07-20,Consulting Team,2026-07-20,100,READY_FOR_REVIEW,70,Action language detected | Owner identified | Deadline identified,NEEDS_HUMAN_REVIEW,NORMAL
M00053,"The Operations Team will complete dashboard testing, but no deadline has been confirmed yet",Operations Team,UNKNOWN,80,NEEDS_HUMAN_REVIEW,80,Decision language detected | Action language detected | Owner identified | Deadline missing,READY_FOR_HUMAN_APPROVAL,MISSING_DEADLINE
M00054,The deployment should be ready by 2026-04-12; the Security Team will prepare release checklist,Security Team,2026-04-12,100,READY_FOR_REVIEW,70,Action language detected | Owner identified | Deadline identified,NEEDS_HUMAN_REVIEW,NORMAL
M00055,We decided that the deployment must be completed by 2026-05-30,UNKNOWN,2026-05-30,80,NEEDS_HUMAN_REVIEW,80,Decision language detected | Action language detected | Owner missing | Deadline identified,READY_FOR_HUMAN_APPROVAL,MISSING_OWNER
M00055,The Analytics Team will prepare release checklist,Analytics Team,UNKNOWN,80,NEEDS_HUMAN_REVIEW,50,Action language detected | Owner identified | Deadline missing,NEEDS_HUMAN_REVIEW,MISSING_DEADLINE
M00056,Decision: complete security review for the production deployment,UNKNOWN,UNKNOWN,60,NEEDS_HUMAN_REVIEW,60,Decision language detected | Action language detected | Owner missing | Deadline missing,NEEDS_HUMAN_REVIEW,LOW_CONFIDENCE
M00056,Operations Team will handle the work by 2026-08-05,Operations Team,2026-08-05,100,READY_FOR_REVIEW,70,Action language detected | Owner identified | Deadline identified,NEEDS_HUMAN_REVIEW,NORMAL
M00057,We decided that the analytics model must be completed by 2026-04-13,UNKNOWN,2026-04-13,80,NEEDS_HUMAN_REVIEW,80,Decision language detected | Action language detected | Owner missing | Deadline identified,READY_FOR_HUMAN_APPROVAL,MISSING_OWNER
M00057,The QA Team will verify model outputs,QA Team,UNKNOWN,80,NEEDS_HUMAN_REVIEW,50,Action language detected | Owner identified | Deadline missing,NEEDS_HUMAN_REVIEW,MISSING_DEADLINE
M00058,The team agreed to prepare release checklist for the deployment,UNKNOWN,UNKNOWN,60,NEEDS_HUMAN_REVIEW,60,Decision language detected | Action language detected | Owner missing | Deadline missing,NEEDS_HUMAN_REVIEW,LOW_CONFIDENCE
M00059,Decision: complete ETL integration for the dashboard,UNKNOWN,UNKNOWN,60,NEEDS_HUMAN_REVIEW,60,Decision language detected | Action language detected | Owner missing | Deadline missing,NEEDS_HUMAN_REVIEW,LOW_CONFIDENCE
M00059,Operations Team will handle the work by 2026-08-17,Operations Team,2026-08-17,100,READY_FOR_REVIEW,70,Action language detected | Owner identified | Deadline identified,NEEDS_HUMAN_REVIEW,NORMAL
M00060,The production deployment should be ready by 2026-07-25; the Consulting Team will complete security review,Consulting Team,2026-07-25,100,READY_FOR_REVIEW,70,Action language detected | Owner identified | Deadline identified,NEEDS_HUMAN_REVIEW,NORMAL
M00061,Decision: update project documentation for the client demo,UNKNOWN,UNKNOWN,60,NEEDS_HUMAN_REVIEW,60,Decision language detected | Action language detected | Owner missing | Deadline missing,NEEDS_HUMAN_REVIEW,LOW_CONFIDENCE
M00061,QA Team will handle the work by 2026-08-28,QA Team,2026-08-28,100,READY_FOR_REVIEW,70,Action language detected | Owner identified | Deadline identified,NEEDS_HUMAN_REVIEW,NORMAL
M00062,The analytics model should be ready by 2026-03-28; the Data Engineering Team will verify model outputs,Data Engineering Team,2026-03-28,100,READY_FOR_REVIEW,70,Action language detected | Owner identified | Deadline identified,NEEDS_HUMAN_REVIEW,NORMAL
M00063,The release should be ready by 2026-04-13; the Consulting Team will finalize deployment plan,Consulting Team,2026-04-13,100,READY_FOR_REVIEW,70,Action language detected | Owner identified | Deadline identified,NEEDS_HUMAN_REVIEW,NORMAL
M00064,The team agreed to validate migration results for the reporting pipeline,UNKNOWN,UNKNOWN,60,NEEDS_HUMAN_REVIEW,60,Decision language detected | Action language detected | Owner missing | Deadline missing,NEEDS_HUMAN_REVIEW,LOW_CONFIDENCE
M00065,Decision: complete API integration for the client platform,UNKNOWN,UNKNOWN,60,NEEDS_HUMAN_REVIEW,60,Decision language detected | Action language detected | Owner missing | Deadline missing,NEEDS_HUMAN_REVIEW,LOW_CONFIDENCE
M00065,Analytics Team will handle the work by 2026-06-13,Analytics Team,2026-06-13,100,READY_FOR_REVIEW,70,Action language detected | Owner identified | Deadline identified,NEEDS_HUMAN_REVIEW,NORMAL
M00066,The project scope should be ready by 2026-07-11; the Documentation Team will review client requirements,Documentation Team,2026-07-11,100,READY_FOR_REVIEW,70,Action language detected | Owner identified | Deadline identified,NEEDS_HUMAN_REVIEW,NORMAL
M00067,We decided that the deployment must be completed by 2026-09-03,UNKNOWN,2026-09-03,80,NEEDS_HUMAN_REVIEW,80,Decision language detected | Action language detected | Owner missing | Deadline identified,READY_FOR_HUMAN_APPROVAL,MISSING_OWNER
M00067,The Data Engineering Team will prepare release checklist,Data Engineering Team,UNKNOWN,80,NEEDS_HUMAN_REVIEW,50,Action language detected | Owner identified | Deadline missing,NEEDS_HUMAN_REVIEW,MISSING_DEADLINE
M00068,Decision: validate new metrics for the reporting,UNKNOWN,UNKNOWN,60,NEEDS_HUMAN_REVIEW,60,Decision language detected | Action language detected | Owner missing | Deadline missing,NEEDS_HUMAN_REVIEW,LOW_CONFIDENCE
M00068,Project Team will handle the work by 2026-05-18,Project Team,2026-05-18,100,READY_FOR_REVIEW,70,Action language detected | Owner identified | Deadline identified,NEEDS_HUMAN_REVIEW,NORMAL
M00069,The project scope should be ready by 2026-06-20; the Consulting Team will review client requirements,Consulting Team,2026-06-20,100,READY_FOR_REVIEW,70,Action language detected | Owner identified | Deadline identified,NEEDS_HUMAN_REVIEW,NORMAL
M00070,The production deployment should be ready by 2026-04-02; the Migration Team will complete security review,Migration Team,2026-04-02,100,READY_FOR_REVIEW,70,Action language detected | Owner identified | Deadline identified,NEEDS_HUMAN_REVIEW,NORMAL
M00071,We could possibly complete API integration next week if the client agrees,UNKNOWN,UNKNOWN,30,NEEDS_HUMAN_REVIEW,30,Action language detected | Owner missing | Deadline missing,NEEDS_HUMAN_REVIEW,LOW_CONFIDENCE
M00072,Decision: update project documentation for the client demo,UNKNOWN,UNKNOWN,60,NEEDS_HUMAN_REVIEW,60,Decision language detected | Action language detected | Owner missing | Deadline missing,NEEDS_HUMAN_REVIEW,LOW_CONFIDENCE
M00072,Consulting Team will handle the work by 2026-06-05,Consulting Team,2026-06-05,100,READY_FOR_REVIEW,70,Action language detected | Owner identified | Deadline identified,NEEDS_HUMAN_REVIEW,NORMAL
M00073,The team agreed to review client requirements for the project scope,UNKNOWN,UNKNOWN,60,NEEDS_HUMAN_REVIEW,60,Decision language detected | Action language detected | Owner missing | Deadline missing,NEEDS_HUMAN_REVIEW,LOW_CONFIDENCE
M00074,"The analytics model should be completed by 2026-07-09, but an owner has not yet been confirmed",UNKNOWN,2026-07-09,80,NEEDS_HUMAN_REVIEW,80,Decision language detected | Action language detected | Owner missing | Deadline identified,READY_FOR_HUMAN_APPROVAL,MISSING_OWNER
M00075,We decided that the client demo must be completed by 2026-01-30,UNKNOWN,2026-01-30,80,NEEDS_HUMAN_REVIEW,80,Decision language detected | Action language detected | Owner missing | Deadline identified,READY_FOR_HUMAN_APPROVAL,MISSING_OWNER
M00075,The QA Team will update project documentation,QA Team,UNKNOWN,80,NEEDS_HUMAN_REVIEW,50,Action language detected | Owner identified | Deadline missing,NEEDS_HUMAN_REVIEW,MISSING_DEADLINE
M00076,The reporting pipeline should be ready by 2026-01-28; the Documentation Team will validate migration results,Documentation Team,2026-01-28,100,READY_FOR_REVIEW,70,Action language detected | Owner identified | Deadline identified,NEEDS_HUMAN_REVIEW,NORMAL
M00077,The team agreed to validate new metrics for the reporting,UNKNOWN,UNKNOWN,60,NEEDS_HUMAN_REVIEW,60,Decision language detected | Action language detected | Owner missing | Deadline missing,NEEDS_HUMAN_REVIEW,LOW_CONFIDENCE
M00078,The client demo should be ready by 2026-06-24; the Operations Team will update project documentation,Operations Team,2026-06-24,100,READY_FOR_REVIEW,70,Action language detected | Owner identified | Deadline identified,NEEDS_HUMAN_REVIEW,NORMAL
M00079,The data pipeline should be ready by 2026-01-19; the Analytics Team will prepare data quality report,Analytics Team,2026-01-19,100,READY_FOR_REVIEW,70,Action language detected | Owner identified | Deadline identified,NEEDS_HUMAN_REVIEW,NORMAL
M00080,The client platform should be ready by 2026-07-08; the Platform Team will complete API integration,Platform Team,2026-07-08,100,READY_FOR_REVIEW,70,Action language detected | Owner identified | Deadline identified,NEEDS_HUMAN_REVIEW,NORMAL
M00081,The deployment should be ready by 2026-08-18; the Security Team will prepare release checklist,Security Team,2026-08-18,100,READY_FOR_REVIEW,70,Action language detected | Owner identified | Deadline identified,NEEDS_HUMAN_REVIEW,NORMAL
M00082,Decision: prepare data quality report for the data pipeline,UNKNOWN,UNKNOWN,60,NEEDS_HUMAN_REVIEW,60,Decision language detected | Action language detected | Owner missing | Deadline missing,NEEDS_HUMAN_REVIEW,LOW_CONFIDENCE
M00082,Migration Team will handle the work by 2026-03-17,Migration Team,2026-03-17,100,READY_FOR_REVIEW,70,Action language detected | Owner identified | Deadline identified,NEEDS_HUMAN_REVIEW,NORMAL
M00083,Decision: complete dashboard testing for the analytics dashboard,UNKNOWN,UNKNOWN,60,NEEDS_HUMAN_REVIEW,60,Decision language detected | Action language detected | Owner missing | Deadline missing,NEEDS_HUMAN_REVIEW,LOW_CONFIDENCE
M00083,QA Team will handle the work by 2026-05-05,QA Team,2026-05-05,100,READY_FOR_REVIEW,70,Action language detected | Owner identified | Deadline identified,NEEDS_HUMAN_REVIEW,NORMAL
M00084,The production deployment should be ready by 2026-08-26; the Security Team will complete security review,Security Team,2026-08-26,100,READY_FOR_REVIEW,70,Action language detected | Owner identified | Deadline identified,NEEDS_HUMAN_REVIEW,NORMAL
