task_id,decision_id,task,owner,deadline,status
T00060,D00060,Verify model outputs,Consulting Team,2026-06-21,pending
T00061,D00061,Complete etl integration,QA Team,2026-04-07,needs_review
T00062,D00062,Complete security review,Unknown,Unknown,needs_review
T00063,D00063,Update project documentation,Documentation Team,2026-02-13,needs_review
T00064,D00064,Finalize deployment plan,Security Team,2026-01-29,completed
T00065,D00065,Update project documentation,Project Team,2026-03-27,needs_review
T00066,D00066,Complete api integration,Platform Team,2026-03-21,completed
T00067,D00067,Verify model outputs,Consulting Team,2026-09-24,in_progress
T00068,D00068,Complete security review,Platform Team,2026-07-27,needs_review
T00069,D00069,Complete api integration,Platform Team,2026-05-09,completed
T00070,D00070,Validate migration results,Documentation Team,2026-04-03,needs_review
T00071,D00071,Complete security review,Platform Team,2026-09-22,needs_review
T00072,D00072,Complete dashboard testing,Platform Team,2026-09-17,needs_review
T00073,D00073,Validate migration results,Documentation Team,2026-02-01,completed
T00074,D00074,Prepare data quality report,Data Engineering Team,2026-07-19,in_progress
T00075,D00075,Validate new metrics,Documentation Team,2026-07-20,completed
T00076,D00076,Prepare release checklist,Security Team,2026-05-30,pending
T00077,D00077,Prepare data quality report,Project Team,2026-04-28,pending
T00078,D00078,Complete etl integration,Migration Team,2026-03-19,pending
T00079,D00079,Complete etl integration,Consulting Team,2026-05-21,pending
T00080,D00080,Prepare data quality report,Data Engineering Team,2026-02-27,pending
T00081,D00081,Complete api integration,Security Team,2026-05-29,in_progress
T00082,D00082,Prepare data quality report,QA Team,2026-02-03,in_progress
T00083,D00083,Finalize deployment plan,Operations Team,2026-08-18,pending
T00084,D00084,Complete api integration,Consulting Team,2026-07-27,in_progress
T00085,D00085,Finalize deployment plan,Project Team,2026-01-21,pending
T00086,D00086,Update project documentation,Documentation Team,2026-07-14,in_progress
T00087,D00087,Verify model outputs,Analytics Team,2026-02-15,pending
T00088,D00088,Prepare release checklist,Analytics Team,2026-06-20,completed
T00089,D00089,Validate new metrics,Project Team,2026-08-20,in_progress
T00090,D00090,Update project documentation,Analytics Team,2026-09-07,pending
T00091,D00091,Prepare release checklist,Data Engineering Team,2026-02-08,needs_review
T00092,D00092,Complete api integration,Consulting Team,2026-04-13,pending
T00093,D00093,Finalize deployment plan,Unknown,Unknown,needs_review
T00094,D00094,Update project documentation,Platform Team,2026-01-09,in_progress
T00095,D00095,Prepare release checklist,Analytics Team,2026-08-21,in_progress
T00096,D00096,Update project documentation,Platform Team,2026-05-06,needs_review
T00097,D00097,Validate migration results,Data Engineering Team,2026-01-08,pending
T00098,D00098,Complete api integration,Consulting Team,2026-04-03,needs_review
T00099,D00099,Validate migration results,Security Team,2026-03-27,in_progress
T00100,D00100,Complete etl integration,Consulting Team,2026-01-06,needs_review
T00101,D00101,Update project documentation,Analytics Team,2026-07-20,completed
T00102,D00102,Prepare release checklist,Consulting Team,2026-08-12,needs_review
T00103,D00103,Complete security review,Data Engineering Team,2026-06-15,pending
T00104,D00104,Update project documentation,Consulting Team,2026-06-29,pending
T00105,D00105,Prepare data quality report,Consulting Team,2026-02-17,pending
T00106,D00106,Prepare release checklist,Migration Team,2026-01-21,pending
T00107,D00107,Finalize deployment plan,Consulting Team,2026-02-01,pending
T00108,D00108,Prepare release checklist,Project Team,2026-05-10,pending
T00109,D00109,Complete api integration,Analytics Team,2026-06-22,needs_review
T00110,D00110,Complete security review,Data Engineering Team,2026-09-09,needs_review
T00111,D00111,Update project documentation,Documentation Team,2026-05-26,needs_review
T00112,D00112,Complete api integration,Platform Team,2026-08-17,needs_review
T00113,D00113,Finalize deployment plan,Data Engineering Team,2026-05-17,completed
T00114,D00114,Complete security review,Operations Team,2026-06-17,needs_review
T00115,D00115,Complete etl integration,Project Team,2026-05-25,in_progress
T00116,D00116,Complete dashboard testing,Security Team,2026-07-30,completed
T00117,D00117,Validate new metrics,Data Engineering Team,2026-05-20,needs_review
T00118,D00118,Prepare release checklist,Analytics Team,2026-09-14,completed
T00119,D00119,Validate migration results,Consulting Team,2026-09-28,in_progress
T00120,D00120,Prepare data quality report,Platform Team,2026-03-02,pending
T00121,D00121,Review client requirements,Consulting Team,2026-02-24,needs_review
T00122,D00122,Finalize deployment plan,Data Engineering Team,2026-01-16,pending
T00123,D00123,Prepare data quality report,Documentation Team,2026-06-24,completed
T00124,D00124,Complete etl integration,Unknown,Unknown,needs_review
T00125,D00125,Prepare release checklist,Platform Team,2026-07-20,completed
T00126,D00126,Complete dashboard testing,Data Engineering Team,2026-05-24,completed
T00127,D00127,Complete dashboard testing,Analytics Team,2026-05-28,in_progress
T00128,D00128,Complete dashboard testing,Documentation Team,2026-03-21,needs_review
T00129,D00129,Verify model outputs,Platform Team,2026-01-15,pending
T00130,D00130,Complete etl integration,Project Team,2026-02-08,completed
T00131,D00131,Update project documentation,Analytics Team,2026-08-18,needs_review
T00132,D00132,Validate new metrics,Security Team,2026-09-24,completed
T00133,D00133,Prepare data quality report,Documentation Team,2026-01-28,completed
T00134,D00134,Complete dashboard testing,Security Team,2026-02-07,needs_review
T00135,D00135,Verify model outputs,Documentation Team,2026-09-21,pending
T00136,D00136,Complete security review,Consulting Team,2026-01-08,needs_review
T00137,D00137,Verify model outputs,Operations Team,2026-02-15,needs_review
T00138,D00138,Complete etl integration,Data Engineering Team,2026-08-13,pending
T00139,D00139,Update project documentation,Consulting Team,2026-08-12,completed
T00140,D00140,Prepare data quality report,Documentation Team,2026-03-25,in_progress
T00141,D00141,Prepare release checklist,Documentation Team,2026-09-02,needs_review
T00142,D00142,Prepare release checklist,Operations Team,2026-02-28,pending
T00143,D00143,Complete dashboard testing,Project Team,2026-03-09,needs_review
T00144,D00144,Finalize deployment plan,Analytics Team,2026-01-25,pending
T00145,D00145,Validate new metrics,Platform Team,2026-01-13,pending
T00146,D00146,Finalize deployment plan,Platform Team,2026-03-03,pending
T00147,D00147,Prepare data quality report,Data Engineering Team,2026-09-05,completed
T00148,D00148,Review client requirements,Security Team,2026-05-31,completed
T00149,D00149,Prepare data quality report,Project Team,2026-08-17,pending
T00150,D00150,Verify model outputs,Migration Team,2026-08-13,needs_review
T00151,D00151,Complete etl integration,Platform Team,2026-08-15,needs_review
T00152,D00152,Complete security review,Platform Team,2026-02-22,in_progress
T00153,D00153,Review client requirements,Security Team,2026-05-05,completed
T00154,D00154,Validate migration results,Documentation Team,2026-05-18,in_progress
T00155,D00155,Verify model outputs,Unknown,Unknown,needs_review
T00156,D00156,Complete security review,Project Team,2026-08-25,in_progress
T00157,D00157,Complete api integration,Project Team,2026-09-11,in_progress
T00158,D00158,Validate new metrics,QA Team,2026-08-31,completed
T00159,D00159,Review client requirements,Data Engineering Team,2026-02-27,in_progress
T00160,D00160,Finalize deployment plan,Data Engineering Team,2026-05-23,completed
T00161,D00161,Verify model outputs,Platform Team,2026-07-25,pending
T00162,D00162,Complete security review,Analytics Team,2026-03-31,completed
T00163,D00163,Complete security review,Operations Team,2026-02-06,in_progress
T00164,D00164,Validate migration results,Operations Team,2026-01-13,pending
T00165,D00165,Finalize deployment plan,Security Team,2026-09-14,pending
T00166,D00166,Validate new metrics,Analytics Team,2026-04-02,pending
T00167,D00167,Prepare release checklist,Operations Team,2026-05-09,needs_review
T00168,D00168,Update project documentation,Data Engineering Team,2026-07-15,completed
T00169,D00169,Finalize deployment plan,Documentation Team,2026-03-01,completed
T00170,D00170,Validate new metrics,Analytics Team,2026-08-18,needs_review
T00171,D00171,Validate new metrics,Analytics Team,2026-08-05,in_progress
T00172,D00172,Validate new metrics,Documentation Team,2026-07-02,needs_review
T00173,D00173,Validate new metrics,QA Team,2026-02-02,in_progress
T00174,D00174,Update project documentation,Project Team,2026-07-17,needs_review
T00175,D00175,Complete security review,QA Team,2026-02-06,in_progress
T00176,D00176,Finalize deployment plan,Security Team,2026-05-27,completed
T00177,D00177,Review client requirements,Data Engineering Team,2026-01-16,needs_review
T00178,D00178,Complete dashboard testing,Documentation Team,2026-01-15,needs_review
T00179,D00179,Prepare data quality report,Migration Team,2026-04-20,needs_review
T00180,D00180,Review client requirements,Analytics Team,2026-04-18,completed
T00181,D00181,Complete etl integration,Analytics Team,2026-02-01,pending
T00182,D00182,Validate new metrics,Operations Team,2026-06-20,completed
T00183,D00183,Complete dashboard testing,Migration Team,2026-05-09,in_progress
T00184,D00184,Complete etl integration,Data Engineering Team,2026-05-27,needs_review
T00185,D00185,Update project documentation,Data Engineering Team,2026-06-15,needs_review
T00186,D00186,Prepare release checklist,Unknown,Unknown,needs_review
T00187,D00187,Complete dashboard testing,Operations Team,2026-05-11,needs_review
T00188,D00188,Complete api integration,Project Team,2026-01-08,completed
T00189,D00189,Prepare data quality report,Consulting Team,2026-02-01,completed
T00190,D00190,Update project documentation,Migration Team,2026-02-04,completed
T00191,D00191,Complete etl integration,Platform Team,2026-03-11,needs_review
T00192,D00192,Complete api integration,Migration Team,2026-01-18,in_progress
T00193,D00193,Validate new metrics,Platform Team,2026-05-20,completed
T00194,D00194,Update project documentation,Analytics Team,2026-01-08,pending
T00195,D00195,Verify model outputs,Project Team,2026-01-31,pending
T00196,D00196,Review client requirements,Documentation Team,2026-06-22,needs_review
T00197,D00197,Complete dashboard testing,Project Team,2026-09-09,in_progress
T00198,D00198,Review client requirements,Migration Team,2026-01-06,completed
T00199,D00199,Prepare data quality report,Security Team,2026-06-12,pending
T00200,D00200,Complete security review,Operations Team,2026-09-24,in_progress
T00201,D00201,Finalize deployment plan,Migration Team,2026-01-07,needs_review
T00202,D00202,Finalize deployment plan,Security Team,2026-06-16,in_progress
T00203,D00203,Complete etl integration,Security Team,2026-07-14,in_progress
T00204,D00204,Finalize deployment plan,Migration Team,2026-02-12,completed
T00205,D00205,Complete etl integration,Project Team,2026-03-06,in_progress
T00206,D00206,Complete security review,Project Team,2026-05-15,needs_review
T00207,D00207,Validate migration results,Analytics Team,2026-08-18,needs_review
T00208,D00208,Complete etl integration,Project Team,2026-07-10,pending
T00209,D00209,Complete api integration,QA Team,2026-03-08,completed
T00210,D00210,Review client requirements,Analytics Team,2026-01-18,completed
T00211,D00211,Complete dashboard testing,Analytics Team,2026-02-27,in_progress
T00212,D00212,Prepare release checklist,Data Engineering Team,2026-01-07,needs_review
T00213,D00213,Verify model outputs,Consulting Team,2026-01-27,completed
T00214,D00214,Validate migration results,Project Team,2026-06-24,needs_review
T00215,D00215,Complete api integration,Documentation Team,2026-04-24,in_progress
T00216,D00216,Prepare data quality report,Security Team,2026-08-02,in_progress
T00217,D00217,Review client requirements,Unknown,Unknown,needs_review
T00218,D00218,Review client requirements,QA Team,2026-09-01,in_progress
T00219,D00219,Complete api integration,Data Engineering Team,2026-03-24,completed
T00220,D00220,Update project documentation,Security Team,2026-01-30,needs_review
T00221,D00221,Finalize deployment plan,Data Engineering Team,2026-08-05,in_progress
T00222,D00222,Complete etl integration,Operations Team,2026-08-18,pending
T00223,D00223,Complete dashboard testing,Security Team,2026-03-10,in_progress
T00224,D00224,Update project documentation,Platform Team,2026-06-07,pending
T00225,D00225,Verify model outputs,Security Team,2026-06-15,pending
T00226,D00226,Update project documentation,Documentation Team,2026-08-14,needs_review
T00227,D00227,Complete dashboard testing,Documentation Team,2026-04-13,needs_review
T00228,D00228,Update project documentation,Consulting Team,2026-08-12,completed
T00229,D00229,Validate migration results,QA Team,2026-06-11,completed
T00230,D00230,Complete dashboard testing,Documentation Team,2026-07-15,needs_review
T00231,D00231,Validate migration results,Migration Team,2026-07-13,pending
T00232,D00232,Complete api integration,Migration Team,2026-06-18,pending
T00233,D00233,Validate new metrics,Consulting Team,2026-05-05,pending
T00234,D00234,Prepare data quality report,Migration Team,2026-09-08,needs_review
T00235,D00235,Update project documentation,QA Team,2026-01-29,in_progress
T00236,D00236,Complete etl integration,QA Team,2026-05-29,in_progress
T00237,D00237,Update project documentation,QA Team,2026-04-29,in_progress
T00238,D00238,Verify model outputs,Analytics Team,2026-07-22,pending
T00239,D00239,Finalize deployment plan,Security Team,2026-01-19,in_progress
T00240,D00240,Complete etl integration,Platform Team,2026-05-18,pending
T00241,D00241,Complete dashboard testing,Data Engineering Team,2026-05-11,needs_review
T00242,D00242,Validate new metrics,Operations Team,2026-09-26,completed
T00243,D00243,Complete etl integration,Platform Team,2026-09-18,in_progress
T00244,D00244,Complete etl integration,Operations Team,2026-03-29,needs_review
T00245,D00245,Prepare data quality report,Project Team,2026-09-22,needs_review
T00246,D00246,Update project documentation,Operations Team,2026-08-05,pending
T00247,D00247,Update project documentation,Project Team,2026-09-11,in_progress
T00248,D00248,Complete etl integration,Unknown,Unknown,needs_review
T00249,D00249,Complete etl integration,QA Team,2026-08-29,pending
T00250,D00250,Complete api integration,Analytics Team,2026-04-02,completed
T00251,D00251,Prepare data quality report,Platform Team,2026-01-31,needs_review
T00252,D00252,Validate migration results,Project Team,2026-07-27,in_progress
T00253,D00253,Complete etl integration,Analytics Team,2026-09-22,needs_review
T00254,D00254,Validate new metrics,QA Team,2026-08-29,in_progress
T00255,D00255,Verify model outputs,Migration Team,2026-02-09,needs_review
T00256,D00256,Complete api integration,Migration Team,2026-07-23,pending
T00257,D00257,Validate new metrics,Data Engineering Team,2026-07-29,pending
T00258,D00258,Prepare data quality report,Security Team,2026-01-30,completed
T00259,D00259,Finalize deployment plan,Security Team,2026-04-03,completed
T00260,D00260,Finalize deployment plan,Operations Team,2026-09-20,pending
T00261,D00261,Review client requirements,Operations Team,2026-02-13,needs_review
T00262,D00262,Complete security review,Documentation Team,2026-03-27,completed
T00263,D00263,Verify model outputs,Analytics Team,2026-08-27,needs_review
T00264,D00264,Update project documentation,Data Engineering Team,2026-03-10,pending
T00265,D00265,Complete etl integration,Migration Team,2026-04-24,completed
T00266,D00266,Prepare release checklist,Migration Team,2026-01-08,completed
T00267,D00267,Complete dashboard testing,Consulting Team,2026-08-27,pending
T00268,D00268,Review client requirements,Consulting Team,2026-05-12,in_progress
T00269,D00269,Validate new metrics,Consulting Team,2026-06-17,needs_review
T00270,D00270,Prepare release checklist,Platform Team,2026-03-16,needs_review
T00271,D00271,Complete security review,Data Engineering Team,2026-02-26,in_progress
T00272,D00272,Verify model outputs,Analytics Team,2026-09-21,pending
T00273,D00273,Prepare release checklist,Operations Team,2026-08-10,needs_review
T00274,D00274,Complete etl integration,Consulting Team,2026-06-18,needs_review
T00275,D00275,Update project documentation,Consulting Team,2026-01-18,needs_review
T00276,D00276,Complete etl integration,Migration Team,2026-04-24,needs_review
T00277,D00277,Complete security review,Migration Team,2026-06-26,in_progress
T00278,D00278,Validate migration results,Platform Team,2026-03-11,needs_review
T00279,D00279,Review client requirements,Unknown,Unknown,needs_review
T00280,D00280,Validate migration results,Consulting Team,2026-06-25,completed
T00281,D00281,Review client requirements,Platform Team,2026-02-25,in_progress
T00282,D00282,Update project documentation,Platform Team,2026-02-14,completed
T00283,D00283,Validate migration results,Security Team,2026-09-07,completed
T00284,D00284,Complete security review,Operations Team,2026-05-24,needs_review
T00285,D00285,Complete api integration,Documentation Team,2026-05-27,completed
T00286,D00286,Update project documentation,QA Team,2026-03-03,needs_review
T00287,D00287,Complete security review,Migration Team,2026-08-24,in_progress
T00288,D00288,Finalize deployment plan,Data Engineering Team,2026-09-07,needs_review
T00289,D00289,Complete security review,Operations Team,2026-01-22,completed
T00290,D00290,Prepare data quality report,Data Engineering Team,2026-05-26,needs_review
T00291,D00291,Complete etl integration,Consulting Team,2026-03-05,completed
T00292,D00292,Prepare data quality report,Platform Team,2026-06-05,needs_review
T00293,D00293,Complete security review,Operations Team,2026-03-06,needs_review
T00294,D00294,Verify model outputs,Migration Team,2026-06-17,needs_review
T00295,D00295,Verify model outputs,Project Team,2026-03-11,completed
T00296,D00296,Verify model outputs,Project Team,2026-06-08,in_progress
T00297,D00297,Finalize deployment plan,Consulting Team,2026-08-10,needs_review
T00298,D00298,Complete security review,Platform Team,2026-04-07,pending
T00299,D00299,Complete security review,Platform Team,2026-03-16,needs_review
T00300,D00300,Complete api integration,Platform Team,2026-05-24,pending
T00301,D00301,Verify model outputs,Operations Team,2026-01-18,pending
T00302,D00302,Complete dashboard testing,Project Team,2026-02-28,in_progress
T00303,D00303,Complete security review,Migration Team,2026-08-18,in_progress
T00304,D00304,Validate new metrics,Migration Team,2026-04-27,in_progress
T00305,D00305,Complete security review,Documentation Team,2026-04-19,needs_review
T00306,D00306,Complete security review,Security Team,2026-07-08,completed
T00307,D00307,Verify model outputs,Operations Team,2026-09-19,needs_review
T00308,D00308,Complete api integration,Security Team,2026-08-05,needs_review
T00309,D00309,Complete etl integration,Analytics Team,2026-05-02,completed
T00310,D00310,Finalize deployment plan,Unknown,Unknown,needs_review
T00311,D00311,Complete etl integration,Migration Team,2026-06-14,in_progress
T00312,D00312,Verify model outputs,Platform Team,2026-02-15,completed
T00313,D00313,Complete security review,Documentation Team,2026-08-04,in_progress
T00314,D00314,Update project documentation,Platform Team,2026-07-12,pending
T00315,D00315,Complete etl integration,Operations Team,2026-02-01,pending
T00316,D00316,Validate new metrics,Security Team,2026-08-05,completed
T00317,D00317,Verify model outputs,Operations Team,2026-01-24,needs_review
T00318,D00318,Complete dashboard testing,Analytics Team,2026-01-24,pending
T00319,D00319,Complete etl integration,Data Engineering Team,2026-03-01,needs_review
T00320,D00320,Finalize deployment plan,Operations Team,2026-06-20,completed
T00321,D00321,Complete dashboard testing,Project Team,2026-05-13,pending
T00322,D00322,Validate migration results,Data Engineering Team,2026-09-05,completed
T00323,D00323,Complete security review,Operations Team,2026-09-14,completed
T00324,D00324,Complete etl integration,Security Team,2026-06-16,in_progress
T00325,D00325,Finalize deployment plan,Security Team,2026-09-22,needs_review
T00326,D00326,Complete etl integration,QA Team,2026-09-18,in_progress
T00327,D00327,Validate migration results,Security Team,2026-08-04,needs_review
T00328,D00328,Validate new metrics,Project Team,2026-03-01,pending
T00329,D00329,Complete etl integration,Platform Team,2026-07-31,pending
T00330,D00330,Prepare data quality report,Analytics Team,2026-02-22,in_progress
T00331,D00331,Complete etl integration,Consulting Team,2026-03-22,completed
T00332,D00332,Complete etl integration,Data Engineering Team,2026-08-02,completed
T00333,D00333,Complete security review,Security Team,2026-08-28,needs_review
T00334,D00334,Update project documentation,Consulting Team,2026-06-13,completed
T00335,D00335,Finalize deployment plan,Operations Team,2026-03-18,needs_review
T00336,D00336,Complete etl integration,Project Team,2026-06-18,in_progress
T00337,D00337,Prepare data quality report,Consulting Team,2026-09-14,completed
T00338,D00338,Validate migration results,Analytics Team,2026-08-04,pending
T00339,D00339,Review client requirements,Security Team,2026-07-16,completed
T00340,D00340,Prepare release checklist,QA Team,2026-09-18,completed
T00341,D00341,Complete api integration,Unknown,Unknown,needs_review
T00342,D00342,Prepare release checklist,Documentation Team,2026-04-11,pending
T00343,D00343,Prepare release checklist,Consulting Team,2026-02-10,completed
T00344,D00344,Complete security review,Project Team,2026-03-31,in_progress
T00345,D00345,Validate migration results,Data Engineering Team,2026-07-29,completed
T00346,D00346,Complete etl integration,QA Team,2026-05-12,in_progress
T00347,D00347,Prepare data quality report,Documentation Team,2026-08-28,completed
T00348,D00348,Verify model outputs,Consulting Team,2026-06-02,in_progress
T00349,D00349,Prepare release checklist,QA Team,2026-03-21,completed
T00350,D00350,Verify model outputs,Project Team,2026-08-27,needs_review
T00351,D00351,Prepare release checklist,Platform Team,2026-05-30,pending
T00352,D00352,Prepare data quality report,Consulting Team,2026-08-26,in_progress
T00353,D00353,Verify model outputs,Consulting Team,2026-07-26,completed
T00354,D00354,Prepare data quality report,Documentation Team,2026-03-23,in_progress
T00355,D00355,Validate migration results,Consulting Team,2026-01-11,needs_review
T00356,D00356,Verify model outputs,Platform Team,2026-02-13,pending
T00357,D00357,Complete api integration,Data Engineering Team,2026-08-20,completed
T00358,D00358,Complete security review,Consulting Team,2026-09-23,in_progress
T00359,D00359,Complete api integration,Documentation Team,2026-05-12,pending
T00360,D00360,Verify model outputs,Operations Team,2026-05-18,in_progress
T00361,D00361,Complete security review,Analytics Team,2026-09-20,in_progress
T00362,D00362,Finalize deployment plan,Operations Team,2026-09-22,completed
T00363,D00363,Prepare data quality report,Documentation Team,2026-01-31,in_progress
T00364,D00364,Review client requirements,Consulting Team,2026-02-11,pending
T00365,D00365,Verify model outputs,Project Team,2026-07-11,needs_review
T00366,D00366,Complete api integration,Documentation Team,2026-02-20,completed
T00367,D00367,Prepare release checklist,Migration Team,2026-05-19,in_progress
T00368,D00368,Verify model outputs,Consulting Team,2026-07-04,needs_review
T00369,D00369,Validate migration results,Project Team,2026-03-22,in_progress
T00370,D00370,Update project documentation,Consulting Team,2026-05-21,completed
T00371,D00371,Prepare release checklist,Data Engineering Team,2026-09-02,pending
T00372,D00372,Complete etl integration,Unknown,Unknown,needs_review
T00373,D00373,Prepare release checklist,Analytics Team,2026-05-08,completed
T00374,D00374,Verify model outputs,Documentation Team,2026-06-04,in_progress
T00375,D00375,Prepare data quality report,Project Team,2026-05-23,completed
T00376,D00376,Complete etl integration,Documentation Team,2026-09-04,in_progress
T00377,D00377,Complete security review,Analytics Team,2026-03-30,pending
T00378,D00378,Validate migration results,Analytics Team,2026-04-09,needs_review
T00379,D00379,Verify model outputs,Consulting Team,2026-03-24,pending
T00380,D00380,Validate migration results,Migration Team,2026-06-18,completed
T00381,D00381,Prepare data quality report,Consulting Team,2026-09-21,in_progress
T00382,D00382,Verify model outputs,Platform Team,2026-08-27,pending
T00383,D00383,Complete etl integration,Platform Team,2026-07-14,pending
T00384,D00384,Complete etl integration,Platform Team,2026-07-14,pending
T00385,D00385,Complete security review,Operations Team,2026-07-22,in_progress
T00386,D00386,Prepare data quality report,Security Team,2026-08-01,in_progress
T00387,D00387,Prepare release checklist,Consulting Team,2026-04-19,in_progress
T00388,D00388,Finalize deployment plan,Operations Team,2026-08-25,in_progress
T00389,D00389,Prepare data quality report,Data Engineering Team,2026-02-01,completed
T00390,D00390,Complete etl integration,Platform Team,2026-09-09,in_progress
T00391,D00391,Complete api integration,Platform Team,2026-09-27,needs_review
T00392,D00392,Verify model outputs,Platform Team,2026-06-23,in_progress
T00393,D00393,Complete api integration,QA Team,2026-08-16,in_progress
T00394,D00394,Complete api integration,Operations Team,2026-03-02,completed
T00395,D00395,Complete dashboard testing,Project Team,2026-05-23,pending
T00396,D00396,Review client requirements,Documentation Team,2026-04-30,completed
T00397,D00397,Prepare release checklist,Platform Team,2026-03-25,in_progress
T00398,D00398,Complete security review,Operations Team,2026-01-15,pending
T00399,D00399,Finalize deployment plan,Operations Team,2026-02-28,completed
T00400,D00400,Prepare release checklist,Documentation Team,2026-06-15,in_progress
T00401,D00401,Complete dashboard testing,Platform Team,2026-08-22,needs_review
T00402,D00402,Finalize deployment plan,Analytics Team,2026-06-24,in_progress
T00403,D00403,Update project documentation,Unknown,Unknown,needs_review
T00404,D00404,Update project documentation,Documentation Team,2026-02-11,in_progress
T00405,D00405,Prepare data quality report,Consulting Team,2026-06-23,needs_review
T00406,D00406,Complete api integration,Analytics Team,2026-08-10,pending
T00407,D00407,Validate new metrics,Platform Team,2026-07-09,pending
T00408,D00408,Validate migration results,Security Team,2026-01-16,pending
T00409,D00409,Complete security review,Data Engineering Team,2026-09-18,needs_review
T00410,D00410,Verify model outputs,Consulting Team,2026-07-07,needs_review
T00411,D00411,Complete etl integration,Data Engineering Team,2026-07-04,pending
T00412,D00412,Finalize deployment plan,Security Team,2026-05-02,pending
T00413,D00413,Update project documentation,Operations Team,2026-02-23,pending
T00414,D00414,Update project documentation,Project Team,2026-09-16,needs_review
T00415,D00415,Update project documentation,Documentation Team,2026-04-03,needs_review
T00416,D00416,Verify model outputs,Documentation Team,2026-04-01,needs_review
T00417,D00417,Verify model outputs,Consulting Team,2026-07-22,in_progress
T00418,D00418,Validate new metrics,Security Team,2026-09-26,needs_review
